"Country/Region/World","Year","average_chol","cholesterol_level_category"
"Australia",1980,5.610994767,"Borderline High"
"Australia",1981,5.607661235,"Borderline High"
"Australia",1982,5.6039830675,"Borderline High"
"Australia",1983,5.5996702535,"Borderline High"
"Australia",1984,5.5946007815000005,"Borderline High"
"Australia",1985,5.5883885185,"Borderline High"
"Australia",1986,5.5806340495,"Borderline High"
"Australia",1987,5.5709720085,"Borderline High"
"Australia",1988,5.558779109,"Borderline High"
"Australia",1989,5.543503258,"Borderline High"
"Australia",1990,5.5248000525,"Borderline High"
"Australia",1991,5.503196122,"Borderline High"
"Australia",1992,5.479217433,"Borderline High"
"Australia",1993,5.4531578895,"Borderline High"
"Australia",1994,5.425406863,"Borderline High"
"Australia",1995,5.3964018424999995,"Borderline High"
"Australia",1996,5.366221634,"Borderline High"
"Australia",1997,5.3351599305,"Borderline High"
"Australia",1998,5.3031709375,"Borderline High"
"Australia",1999,5.2703448035000005,"Borderline High"
"Australia",2000,5.2367381005,"Borderline High"
"Australia",2001,5.2024556865000005,"Borderline High"
"Australia",2002,5.1681667685,"Desirable"
"Australia",2003,5.1339549545,"Desirable"
"Australia",2004,5.099885984,"Desirable"
"Australia",2005,5.066099595000001,"Desirable"
"Australia",2006,5.033073739000001,"Desirable"
"Australia",2007,5.000896324999999,"Desirable"
"Australia",2008,4.9694751765,"Desirable"
"Australia",2009,4.9386053965,"Desirable"
"Australia",2010,4.9080757575,"Desirable"
"Australia",2011,4.877856694,"Desirable"
"Australia",2012,4.847513316000001,"Desirable"
"Australia",2013,4.816766042999999,"Desirable"
"Australia",2014,4.785632523,"Desirable"
"Australia",2015,4.754306316499999,"Desirable"
"Australia",2016,4.7228711575,"Desirable"
"Australia",2017,4.6912598505,"Desirable"
"Australia",2018,4.659600583,"Desirable"
