"Country/Region/World","Year","average_hdl_chol","cholesterol_hdl_level_category"
"Australia",1980,1.349519866,"Desirable"
"Australia",1981,1.348789845,"Desirable"
"Australia",1982,1.348084452,"Desirable"
"Australia",1983,1.3472274965,"Desirable"
"Australia",1984,1.346134421,"Desirable"
"Australia",1985,1.3447113705,"Desirable"
"Australia",1986,1.3431521145,"Desirable"
"Australia",1987,1.341570101,"Desirable"
"Australia",1988,1.339815883,"Desirable"
"Australia",1989,1.337972915,"Desirable"
"Australia",1990,1.3361813235,"Desirable"
"Australia",1991,1.3346708665,"Desirable"
"Australia",1992,1.333706336,"Desirable"
"Australia",1993,1.33341229,"Desirable"
"Australia",1994,1.3340846700000002,"Desirable"
"Australia",1995,1.3357970255,"Desirable"
"Australia",1996,1.3385524580000001,"Desirable"
"Australia",1997,1.342275522,"Desirable"
"Australia",1998,1.346750402,"Desirable"
"Australia",1999,1.3517434245,"Desirable"
"Australia",2000,1.357040703,"Desirable"
"Australia",2001,1.362534067,"Desirable"
"Australia",2002,1.3681538945,"Desirable"
"Australia",2003,1.3735191825,"Desirable"
"Australia",2004,1.3783989110000001,"Desirable"
"Australia",2005,1.3828073005000001,"Desirable"
"Australia",2006,1.3869848545,"Desirable"
"Australia",2007,1.3911289765000001,"Desirable"
"Australia",2008,1.39550857,"Desirable"
"Australia",2009,1.4002224475,"Desirable"
"Australia",2010,1.4051997305000001,"Desirable"
"Australia",2011,1.4105839405,"Desirable"
"Australia",2012,1.4164110035,"Desirable"
"Australia",2013,1.422558021,"Desirable"
"Australia",2014,1.428880127,"Desirable"
"Australia",2015,1.435374269,"Desirable"
"Australia",2016,1.4419356570000001,"Desirable"
"Australia",2017,1.4485695395,"Desirable"
"Australia",2018,1.45522894,"Desirable"
