"Country/Region/World","average_hdl_chol","cholesterol_hdl_level_category"
"Japan",1.6179659175,"Desirable"
"Greenland",1.573101107,"Desirable"
"Luxembourg",1.5566717265,"Desirable"
"United Kingdom",1.5321600545,"Desirable"
"Sweden",1.5305686055,"Desirable"
"Germany",1.5243795310000001,"Desirable"
"Austria",1.497651122,"Desirable"
"Czech Republic",1.492305092,"Desirable"
"Finland",1.4787401985,"Desirable"
"Ireland",1.4778761889999998,"Desirable"
"Belgium",1.468580196,"Desirable"
"Latvia",1.4616362244999999,"Desirable"
"France",1.459076456,"Desirable"
"Iceland",1.457810665,"Desirable"
"Switzerland",1.4558314355,"Desirable"
"Australia",1.45522894,"Desirable"
"Greece",1.4497162160000001,"Desirable"
"Norway",1.449224433,"Desirable"
"Croatia",1.4474001840000001,"Desirable"
"Malta",1.4463629905,"Desirable"
"Serbia",1.4390967665,"Desirable"
"Bulgaria",1.4315427135,"Desirable"
"Andorra",1.4238853255000001,"Desirable"
"Russian Federation",1.4224865305,"Desirable"
"Singapore",1.4217371509999999,"Desirable"
"China (Hong Kong SAR)",1.4214549065000002,"Desirable"
"Lithuania",1.4153367935,"Desirable"
"Montenegro",1.414979349,"Desirable"
"United States of America",1.4128616505,"Desirable"
"Mongolia",1.409482751,"Desirable"
"Canada",1.405411506,"Desirable"
"Netherlands",1.404220484,"Desirable"
"Denmark",1.402907406,"Desirable"
"Spain",1.402401658,"Desirable"
"Romania",1.401613634,"Desirable"
"Ukraine",1.3989846075,"Desirable"
"Macedonia (TFYR)",1.397196372,"Desirable"
"South Korea",1.3967422914999998,"Desirable"
"Estonia",1.395609101,"Desirable"
"New Zealand",1.3909178514999998,"Desirable"
"Slovenia",1.388503473,"Desirable"
"Poland",1.3874222294999998,"Desirable"
"Portugal",1.3841303635000002,"Desirable"
"Italy",1.384128457,"Desirable"
"Albania",1.3825858585000002,"Desirable"
"Hungary",1.3825819209999999,"Desirable"
"Cyprus",1.3821962595000001,"Desirable"
"Taiwan",1.3813426125000001,"Desirable"
"Slovakia",1.372292026,"Desirable"
"Belarus",1.3579630125,"Desirable"
"Malaysia",1.3314159745,"Desirable"
"Israel",1.3213060159999999,"Desirable"
"Bosnia and Herzegovina",1.312970703,"Desirable"
"North Korea",1.311139799,"Desirable"
"Moldova",1.3104983465,"Desirable"
"Turkmenistan",1.2968220015,"Desirable"
"Botswana",1.2923192565,"Desirable"
"South Africa",1.2881436625,"Desirable"
"Bermuda",1.2851134365,"Desirable"
"China",1.278153844,"Desirable"
"Qatar",1.273179362,"Desirable"
"Zimbabwe",1.271125181,"Desirable"
"Guyana",1.269807356,"Desirable"
"Puerto Rico",1.2681017575,"Desirable"
"Brunei Darussalam",1.262020003,"Desirable"
"Saudi Arabia",1.2590503005,"Desirable"
"Kuwait",1.256665837,"Desirable"
"Lebanon",1.254853975,"Desirable"
"Bahamas",1.2483036255,"Desirable"
"Jamaica",1.242947759,"Desirable"
"Thailand",1.23870128,"Desirable"
"Dominican Republic",1.2366855074999998,"Desirable"
"Oman",1.235970546,"Desirable"
"Kazakhstan",1.2319442175000002,"Desirable"
"Namibia",1.229196452,"Desirable"
"Dominica",1.2273665985000002,"Desirable"
"Cuba",1.2197162815,"Desirable"
"Uruguay",1.2184037735,"Desirable"
"Bahrain",1.2116101045,"Desirable"
"Indonesia",1.2091708595,"Desirable"
"Brazil",1.20860062,"Desirable"
"Turkey",1.208111503,"Desirable"
"Tunisia",1.2053444535,"Desirable"
"Gabon",1.204901059,"Desirable"
"Saint Vincent and the Grenadines",1.2019770005,"Desirable"
"United Arab Emirates",1.200997486,"Desirable"
"Swaziland",1.194095184,"Desirable"
"Uzbekistan",1.191781668,"Desirable"
"Trinidad and Tobago",1.19105401,"Desirable"
"Haiti",1.189461772,"Desirable"
"Ghana",1.1893421475000001,"Desirable"
"Occupied Palestinian Territory",1.1891413439999998,"Desirable"
"Mauritius",1.188576892,"Desirable"
"Seychelles",1.1876709870000002,"Desirable"
"Ecuador",1.1864317085,"Desirable"
"Belize",1.183616805,"Desirable"
"Iraq",1.1825352279999999,"Desirable"
"Iran",1.1810824535000002,"Desirable"
"Jordan",1.179457524,"Desirable"
"Equatorial Guinea",1.170345927,"Desirable"
"Chile",1.1666935829999998,"Desirable"
"Congo",1.160109507,"Desirable"
"Syrian Arab Republic",1.1595851415,"Desirable"
"Grenada",1.1554733905,"Desirable"
"Angola",1.155309629,"Desirable"
"Argentina",1.1497297254999999,"Desirable"
"Libya",1.148533905,"Desirable"
"Saint Kitts and Nevis",1.1473100815,"Desirable"
"Suriname",1.145180034,"Desirable"
"Myanmar",1.1431976255,"Desirable"
"Lesotho",1.142805274,"Desirable"
"Kyrgyzstan",1.1419792284999999,"Desirable"
"Armenia",1.141882184,"Desirable"
"Djibouti",1.141535467,"Desirable"
"Azerbaijan",1.1412294275,"Desirable"
"Paraguay",1.1409688535,"Desirable"
"Antigua and Barbuda",1.1354921115,"Desirable"
"Mauritania",1.134434052,"Desirable"
"Nepal",1.1329761194999999,"Desirable"
"Gambia",1.1310974725,"Desirable"
"Yemen",1.1289201885,"Desirable"
"Maldives",1.1277025525,"Desirable"
"Bhutan",1.1234349584999999,"Desirable"
"Tanzania",1.123291692,"Desirable"
"Saint Lucia",1.123246962,"Desirable"
"Morocco",1.122261956,"Desirable"
"Algeria",1.122105082,"Desirable"
"Kenya",1.1182500375,"Desirable"
"Cabo Verde",1.1169758515,"Desirable"
"DR Congo",1.1158578760000002,"Desirable"
"Sao Tome and Principe",1.114797515,"Desirable"
"Benin",1.1132062235,"Desirable"
"Pakistan",1.111663068,"Desirable"
"Cameroon",1.110727975,"Desirable"
"Central African Republic",1.1096988905,"Desirable"
"Bangladesh",1.1047131375,"Desirable"
"Honduras",1.1040805105,"Desirable"
"Ivory Coast",1.1014750935,"Desirable"
"Liberia",1.0991791185,"Desirable"
"Tajikistan",1.0981377045,"Desirable"
"Eritrea",1.095986557,"Desirable"
"Philippines",1.0938542425,"Desirable"
"Senegal",1.0907698985,"Desirable"
"Guinea Bissau",1.086302333,"Desirable"
"Sierra Leone",1.0861703825,"Desirable"
"Viet Nam",1.086052575,"Desirable"
"Mali",1.082829719,"Desirable"
"Togo",1.0808387925,"Desirable"
"Guinea",1.0782672425,"Desirable"
"Afghanistan",1.0773144989999999,"Desirable"
"Peru",1.075433664,"Desirable"
"Mozambique",1.0724636825,"Desirable"
"Comoros",1.0681241505,"Desirable"
"Madagascar",1.0645264635,"Desirable"
"Egypt",1.058251779,"Desirable"
"Cambodia",1.055556477,"Desirable"
"Nigeria",1.054899869,"Desirable"
"Cook Islands",1.053843756,"Desirable"
"Mexico",1.053342066,"Desirable"
"Somalia",1.0514886505,"Desirable"
"Zambia",1.051406917,"Desirable"
"Sri Lanka",1.049549921,"Desirable"
"Chad",1.049468886,"Desirable"
"Timor-Leste",1.041961856,"Desirable"
"Uganda",1.039648633,"Desirable"
"Niger",1.0374451155,"Desirable"
"Ethiopia",1.034043479,"Desirable"
"Georgia",1.0338216955,"Desirable"
"Bolivia",1.0299875374999998,"Desirable"
"Fiji",1.0200394995,"Desirable"
"Burundi",1.0166260825,"Desirable"
"French Polynesia",1.016091998,"Desirable"
"Colombia",1.0127611465,"Desirable"
"Costa Rica",1.0114076025,"Desirable"
"Lao PDR",1.010558422,"Desirable"
"Venezuela",1.004105983,"Desirable"
"Samoa",0.9994134434999999,"Desirable"
"Nauru",0.9987495155,"Desirable"
"Rwanda",0.9972266095,"Desirable"
"India",0.9952737359999999,"Desirable"
"Vanuatu",0.9853886925,"Desirable"
"Tokelau",0.983506454,"Desirable"
"Marshall Islands",0.9762553985,"Desirable"
"Palau",0.9750319765,"Desirable"
"Panama",0.9712920865,"Desirable"
"Guatemala",0.970841064,"Desirable"
"Barbados",0.9701807585,"Desirable"
"Nicaragua",0.969346011,"Desirable"
"Papua New Guinea",0.96818154,"Desirable"
"Sudan",0.961045358,"Desirable"
"Solomon Islands",0.9605268445,"Desirable"
"Burkina Faso",0.959859279,"Desirable"
"American Samoa",0.9592628155,"Desirable"
"Tonga",0.9482355785,"Desirable"
"Niue",0.9365690984999999,"Desirable"
"El Salvador",0.906926262,"Desirable"
"Malawi",0.890253477,"Low"
"Micronesia (Federated States of)",0.8840171405,"Low"
"Tuvalu",0.7626308925,"Low"
"Kiribati",0.7539275805000001,"Low"
