"Country","Year","Average_Obesity_Rate","previous_year_obesity_rate","yoy_difference"
"Australia",1975,0.107,NULL,NULL
"Australia",1976,0.109,0.107,0.0020000000000000018
"Australia",1977,0.112,0.109,0.0030000000000000027
"Australia",1978,0.114,0.112,0.0020000000000000018
"Australia",1979,0.117,0.114,0.0030000000000000027
"Australia",1980,0.12,0.117,0.002999999999999989
"Australia",1981,0.123,0.12,0.0030000000000000027
"Australia",1982,0.126,0.123,0.0030000000000000027
"Australia",1983,0.13,0.126,0.0040000000000000036
"Australia",1984,0.132,0.13,0.0020000000000000018
"Australia",1985,0.136,0.132,0.0040000000000000036
"Australia",1986,0.139,0.136,0.0030000000000000027
"Australia",1987,0.143,0.139,0.003999999999999976
"Australia",1988,0.146,0.143,0.0030000000000000027
"Australia",1989,0.15,0.146,0.0040000000000000036
"Australia",1990,0.154,0.15,0.0040000000000000036
"Australia",1991,0.158,0.154,0.0040000000000000036
"Australia",1992,0.163,0.158,0.0050000000000000044
"Australia",1993,0.168,0.163,0.0050000000000000044
"Australia",1994,0.172,0.168,0.003999999999999976
"Australia",1995,0.177,0.172,0.0050000000000000044
"Australia",1996,0.182,0.177,0.0050000000000000044
"Australia",1997,0.187,0.182,0.0050000000000000044
"Australia",1998,0.192,0.187,0.0050000000000000044
"Australia",1999,0.198,0.192,0.006000000000000005
"Australia",2000,0.203,0.198,0.0050000000000000044
"Australia",2001,0.209,0.203,0.005999999999999978
"Australia",2002,0.214,0.209,0.0050000000000000044
"Australia",2003,0.22,0.214,0.006000000000000005
"Australia",2004,0.225,0.22,0.0050000000000000044
"Australia",2005,0.231,0.225,0.006000000000000005
"Australia",2006,0.236,0.231,0.004999999999999977
"Australia",2007,0.241,0.236,0.0050000000000000044
"Australia",2008,0.247,0.241,0.006000000000000005
"Australia",2009,0.252,0.247,0.0050000000000000044
"Australia",2010,0.258,0.252,0.006000000000000005
"Australia",2011,0.263,0.258,0.0050000000000000044
"Australia",2012,0.269,0.263,0.006000000000000005
"Australia",2013,0.274,0.269,0.0050000000000000044
"Australia",2014,0.28,0.274,0.006000000000000005
"Australia",2015,0.285,0.28,0.004999999999999949
"Australia",2016,0.291,0.285,0.006000000000000005
